material_type,moisture_content,contamination_level,combustibility,calorific_value,rdf_score,rdf_suitable,rdf_grade
glass,1.57,2.51,0.0,0.0,0.4281,0,Low
organic,42.22,4.96,3.34,3.86,0.3617,0,Low
organic,69.71,3.1,5.31,7.28,0.3999,0,Low
glass,3.0,0.36,0.0,0.0,0.5545,1,Medium
cardboard,20.44,1.24,9.06,17.12,0.6579,1,Medium
organic,40.43,4.46,4.1,3.82,0.311,0,Unsuitable
metal,4.18,2.97,0.56,0.42,0.4587,1,Low
metal,2.24,1.18,0.08,0.38,0.4368,0,Low
cardboard,14.39,0.6,7.54,17.72,0.7013,1,High
metal,1.46,1.47,0.59,0.25,0.3903,0,Low
paper,11.09,4.22,8.91,15.6,0.6152,1,Medium
glass,0.29,1.1,0.0,0.0,0.4463,0,Low
glass,2.41,2.31,0.0,0.0,0.381,0,Low
paper,26.26,1.7,8.5,15.13,0.5745,1,Medium
metal,1.99,2.75,0.63,0.09,0.447,0,Low
paper,5.62,4.64,8.34,14.23,0.5424,1,Medium
paper,5.18,1.39,9.11,15.54,0.6336,1,Medium
glass,2.39,2.28,0.0,0.0,0.339,0,Unsuitable
metal,3.91,2.6,0.11,0.37,0.332,0,Unsuitable
metal,3.27,2.91,0.98,0.14,0.4934,1,Low
metal,3.75,1.04,0.12,0.02,0.3989,0,Low
organic,79.42,6.25,5.91,5.06,0.2046,0,Unsuitable
plastic,0.85,3.33,9.6,44.8,0.9518,1,High
paper,14.32,0.24,7.33,15.7,0.5952,1,Medium
cardboard,20.47,3.46,9.22,17.4,0.6456,1,Medium
organic,64.88,9.01,2.02,5.57,0.1189,0,Unsuitable
paper,5.74,2.01,9.69,15.69,0.653,1,Medium
plastic,3.48,5.12,8.6,39.45,0.7933,1,High
organic,50.99,9.21,2.75,3.42,0.2138,0,Unsuitable
plastic,8.07,5.99,8.59,36.53,0.7476,1,High
glass,2.87,2.99,0.0,0.0,0.3894,0,Low
plastic,4.97,0.81,8.73,31.07,0.8588,1,High
organic,40.71,6.17,4.54,4.72,0.3098,0,Unsuitable
organic,70.08,6.79,3.14,7.48,0.1297,0,Unsuitable
organic,53.01,9.36,4.12,6.71,0.2697,0,Unsuitable
metal,1.5,0.72,0.32,0.08,0.557,1,Medium
metal,2.81,2.38,0.78,0.22,0.4423,0,Low
organic,66.98,8.7,5.61,6.94,0.2077,0,Unsuitable
organic,62.49,3.71,4.61,7.78,0.3476,0,Unsuitable
organic,41.43,9.72,2.41,3.21,0.0828,0,Unsuitable
plastic,0.66,2.73,9.03,35.0,0.828,1,High
organic,55.38,3.42,4.79,4.04,0.3629,0,Low
cardboard,12.88,1.67,7.0,15.34,0.5814,1,Medium
cardboard,15.16,1.96,8.0,16.29,0.6299,1,Medium
cardboard,21.82,1.04,7.97,15.73,0.5652,1,Medium
organic,49.13,5.32,5.72,3.24,0.2733,0,Unsuitable
glass,3.56,0.45,0.0,0.0,0.4438,0,Low
cardboard,8.77,0.13,7.33,16.86,0.7451,1,High
cardboard,16.38,2.36,9.55,15.01,0.7033,1,High
metal,0.81,2.32,0.86,0.13,0.4042,0,Low
metal,2.27,1.81,0.98,0.18,0.3817,0,Low
cardboard,20.98,2.4,7.65,16.24,0.6499,1,Medium
paper,6.95,0.15,8.04,13.08,0.6578,1,Medium
metal,3.54,2.22,0.32,0.45,0.4719,1,Low
glass,0.63,0.43,0.0,0.0,0.4424,0,Low
cardboard,5.08,0.07,9.98,16.75,0.7604,1,High
organic,75.89,9.16,4.14,6.11,0.1514,0,Unsuitable
glass,2.97,0.88,0.0,0.0,0.4169,0,Low
cardboard,16.91,0.93,9.62,15.76,0.6487,1,Medium
paper,14.9,3.39,9.18,15.27,0.6288,1,Medium
metal,4.92,1.26,0.51,0.01,0.3909,0,Low
plastic,4.08,0.56,9.78,36.32,0.9101,1,High
metal,0.75,2.88,0.18,0.1,0.3362,0,Unsuitable
plastic,7.33,5.27,8.76,38.27,0.8487,1,High
plastic,7.31,4.7,9.14,31.67,0.738,1,High
glass,3.99,0.3,0.0,0.0,0.4147,0,Low
organic,79.17,5.64,4.88,7.44,0.2505,0,Unsuitable
metal,3.04,1.74,0.41,0.3,0.398,0,Low
paper,16.69,0.98,8.13,14.58,0.6524,1,Medium
paper,22.11,1.7,9.86,13.97,0.5785,1,Medium
cardboard,20.07,3.52,7.83,15.61,0.5251,1,Medium
plastic,4.68,1.56,8.09,37.7,0.8891,1,High
metal,3.26,1.49,0.11,0.13,0.4022,0,Low
paper,26.92,4.51,9.95,16.93,0.545,1,Medium
glass,0.36,0.41,0.0,0.0,0.3155,0,Unsuitable
glass,3.08,1.63,0.0,0.0,0.3922,0,Low
organic,74.08,7.09,4.94,4.48,0.1328,0,Unsuitable
organic,70.4,8.41,2.83,7.71,0.2801,0,Unsuitable
plastic,8.96,0.6,8.53,43.54,0.8743,1,High
metal,2.25,0.74,0.71,0.43,0.5175,1,Medium
plastic,5.31,1.49,8.49,32.58,0.7779,1,High
cardboard,20.55,2.07,8.47,16.59,0.6607,1,Medium
organic,57.38,3.92,2.5,7.76,0.3596,0,Low
organic,46.54,6.88,2.83,4.27,0.303,0,Unsuitable
organic,44.76,9.42,3.29,6.04,0.2935,0,Unsuitable
organic,61.28,4.31,5.95,7.09,0.1629,0,Unsuitable
plastic,4.69,0.92,9.84,35.46,0.848,1,High
organic,71.78,7.36,5.0,6.97,0.3124,0,Unsuitable
plastic,9.24,2.63,9.28,30.04,0.7144,1,High
paper,6.55,2.29,7.39,13.61,0.6297,1,Medium
paper,14.82,4.61,7.96,15.9,0.6469,1,Medium
paper,19.99,2.36,9.85,14.37,0.6581,1,Medium
metal,3.39,2.54,0.04,0.22,0.4077,0,Low
glass,4.96,1.59,0.0,0.0,0.4766,1,Low
glass,1.83,2.22,0.0,0.0,0.4383,0,Low
metal,4.54,1.26,0.65,0.17,0.4042,0,Low
metal,2.2,0.38,0.09,0.33,0.4212,0,Low
glass,0.1,0.98,0.0,0.0,0.3473,0,Unsuitable
metal,1.23,2.0,0.13,0.14,0.3929,0,Low
paper,21.87,4.55,7.61,15.17,0.4528,1,Low
paper,28.82,3.05,7.77,15.5,0.6245,1,Medium
glass,2.0,2.06,0.0,0.0,0.4026,0,Low
organic,64.41,6.11,5.74,7.27,0.249,0,Unsuitable
organic,59.59,7.43,3.34,4.22,0.1872,0,Unsuitable
metal,4.62,2.53,0.98,0.37,0.3972,0,Low
paper,17.02,2.28,7.72,15.58,0.6447,1,Medium
glass,1.29,1.76,0.0,0.0,0.388,0,Low
paper,9.19,0.04,8.01,16.19,0.7761,1,High
organic,45.53,8.42,2.46,4.95,0.1466,0,Unsuitable
paper,8.85,2.11,8.86,16.73,0.7563,1,High
paper,6.74,0.69,9.37,14.08,0.7152,1,High
paper,7.8,4.16,7.53,14.69,0.575,1,Medium
metal,2.5,2.06,0.65,0.5,0.4791,1,Low
cardboard,19.56,3.91,7.95,16.38,0.6252,1,Medium
cardboard,6.03,2.69,8.06,17.36,0.6029,1,Medium
organic,56.67,5.25,5.0,7.01,0.2635,0,Unsuitable
glass,4.47,0.43,0.0,0.0,0.4093,0,Low
paper,6.69,0.26,7.0,14.75,0.6643,1,Medium
metal,0.17,1.96,0.82,0.08,0.4152,0,Low
cardboard,21.46,2.16,9.46,15.28,0.637,1,Medium
organic,69.51,4.8,5.01,5.52,0.2791,0,Unsuitable
glass,1.84,0.66,0.0,0.0,0.4656,1,Low
plastic,0.86,1.06,8.35,43.17,0.9308,1,High
glass,0.69,1.96,0.0,0.0,0.4087,0,Low
organic,79.02,9.11,2.77,4.1,0.0893,0,Unsuitable
organic,69.39,6.96,4.2,7.14,0.3224,0,Unsuitable
paper,5.66,0.25,8.8,14.94,0.7113,1,High
paper,23.95,4.13,8.68,14.54,0.5951,1,Medium
plastic,5.22,1.89,9.13,40.83,0.9208,1,High
plastic,2.12,5.37,9.29,32.75,0.764,1,High
cardboard,14.4,1.9,9.81,15.18,0.7752,1,High
plastic,1.95,4.08,8.43,31.59,0.7051,1,High
metal,2.11,0.53,0.13,0.43,0.4051,0,Low
plastic,0.55,2.14,8.53,39.77,0.8541,1,High
plastic,8.88,5.58,8.2,31.72,0.6255,1,Medium
plastic,1.22,5.11,9.51,43.12,0.8827,1,High
metal,4.98,0.13,0.4,0.16,0.4122,0,Low
cardboard,21.12,0.68,9.94,16.5,0.6989,1,Medium
metal,1.99,1.75,0.13,0.16,0.4434,0,Low
organic,74.65,7.13,3.43,5.04,0.2335,0,Unsuitable
cardboard,17.66,3.71,9.8,16.17,0.5617,1,Medium
paper,19.2,2.31,8.98,15.22,0.6077,1,Medium
plastic,3.46,2.27,8.19,32.66,0.856,1,High
organic,48.58,6.94,5.02,4.29,0.2507,0,Unsuitable
plastic,9.28,3.58,9.34,30.84,0.8432,1,High
organic,76.96,7.05,2.02,3.19,0.2141,0,Unsuitable
plastic,5.63,0.16,9.49,43.63,0.8503,1,High
paper,5.14,3.93,7.99,16.52,0.741,1,High
plastic,5.65,1.62,8.32,42.4,0.7825,1,High
paper,29.14,4.82,9.57,13.75,0.5103,1,Medium
metal,4.39,1.12,0.1,0.41,0.4566,1,Low
paper,29.55,3.04,8.27,14.48,0.5552,1,Medium
metal,0.59,2.38,0.84,0.14,0.4466,0,Low
glass,0.12,1.56,0.0,0.0,0.3804,0,Low
organic,66.73,5.64,4.47,3.2,0.2909,0,Unsuitable
organic,48.57,3.98,2.75,4.72,0.2559,0,Unsuitable
metal,4.74,1.21,0.81,0.49,0.4542,1,Low
metal,4.36,1.9,0.43,0.22,0.4305,0,Low
metal,2.67,2.98,0.96,0.02,0.3647,0,Low
metal,4.51,0.14,0.94,0.42,0.4727,1,Low
paper,25.87,0.78,8.6,16.66,0.6319,1,Medium
glass,2.23,0.19,0.0,0.0,0.4203,0,Low
plastic,2.86,5.79,8.19,43.88,0.8709,1,High
metal,4.88,2.53,0.94,0.06,0.4218,0,Low
glass,2.73,1.63,0.0,0.0,0.4702,1,Low
glass,2.28,1.16,0.0,0.0,0.4821,1,Low
plastic,0.77,4.68,8.89,44.89,0.9473,1,High
cardboard,8.15,0.82,9.93,15.66,0.7166,1,High
cardboard,23.72,3.91,7.71,15.15,0.5569,1,Medium
organic,47.8,6.98,5.65,5.69,0.3168,0,Unsuitable
cardboard,9.04,3.2,8.85,17.59,0.7317,1,High
cardboard,6.81,0.9,8.31,17.84,0.714,1,High
plastic,7.71,3.24,8.37,35.13,0.8047,1,High
paper,15.87,1.14,9.17,13.68,0.6514,1,Medium
glass,0.94,0.32,0.0,0.0,0.4365,0,Low
organic,79.79,6.4,3.91,5.11,0.2077,0,Unsuitable
plastic,5.93,1.37,9.28,30.81,0.9404,1,High
cardboard,22.94,1.9,7.18,17.47,0.6115,1,Medium
plastic,7.82,2.57,9.28,43.7,0.8967,1,High
paper,21.56,3.36,9.88,14.48,0.6463,1,Medium
plastic,8.12,3.03,9.47,37.36,0.7663,1,High
metal,0.66,0.6,0.63,0.37,0.4419,0,Low
glass,1.36,0.33,0.0,0.0,0.5244,1,Medium
plastic,5.29,5.3,9.52,41.33,0.7919,1,High
paper,13.94,2.39,7.44,14.09,0.5839,1,Medium
plastic,5.5,4.23,8.14,37.7,0.814,1,High
cardboard,19.96,3.26,8.34,17.46,0.5909,1,Medium
plastic,1.76,2.8,8.78,33.85,0.8195,1,High
plastic,3.14,1.64,8.26,37.02,0.8992,1,High
organic,49.44,8.34,5.72,5.49,0.2691,0,Unsuitable
plastic,8.67,5.99,9.23,44.24,0.8147,1,High
metal,2.3,0.24,0.02,0.24,0.4709,1,Low
glass,2.04,1.7,0.0,0.0,0.51,1,Medium
glass,3.97,2.54,0.0,0.0,0.3737,0,Low
paper,12.86,2.01,7.8,15.43,0.6313,1,Medium
plastic,5.57,1.78,8.34,33.12,0.7796,1,High
plastic,9.49,2.42,9.67,40.9,0.8401,1,High
glass,4.06,0.79,0.0,0.0,0.3806,0,Low
paper,25.36,1.18,7.83,16.86,0.6402,1,Medium
cardboard,13.65,1.01,9.33,17.32,0.7047,1,High
plastic,8.35,1.28,8.01,39.14,0.7456,1,High
organic,48.32,6.63,5.24,3.45,0.2914,0,Unsuitable
cardboard,19.94,1.49,7.57,15.59,0.6051,1,Medium
plastic,8.62,3.85,9.38,45.73,0.9042,1,High
plastic,4.03,5.54,8.49,41.68,0.8108,1,High
organic,58.73,4.4,2.74,5.32,0.2991,0,Unsuitable
cardboard,20.92,3.63,9.41,15.8,0.6078,1,Medium
cardboard,7.7,3.78,8.21,15.67,0.545,1,Medium
paper,14.98,0.18,7.49,15.56,0.7059,1,High
cardboard,23.35,3.4,9.55,15.68,0.6379,1,Medium
paper,26.69,1.53,8.86,16.04,0.6344,1,Medium
cardboard,23.77,2.91,8.32,17.63,0.6079,1,Medium
glass,3.72,2.46,0.0,0.0,0.4216,0,Low
organic,60.11,6.54,4.33,4.98,0.2212,0,Unsuitable
paper,27.83,1.23,9.21,15.71,0.6303,1,Medium
glass,3.98,2.88,0.0,0.0,0.4993,1,Low
paper,13.8,3.19,8.42,16.95,0.6056,1,Medium
metal,4.38,0.85,0.79,0.19,0.3566,0,Low
plastic,8.84,1.81,9.54,35.39,0.8957,1,High
paper,25.74,0.12,7.66,15.85,0.614,1,Medium
metal,2.48,0.17,0.35,0.43,0.4616,1,Low
organic,77.81,3.36,5.0,4.29,0.2032,0,Unsuitable
plastic,7.46,5.31,8.43,38.5,0.7587,1,High
glass,1.15,0.08,0.0,0.0,0.4518,1,Low
paper,23.6,2.66,8.43,14.8,0.6172,1,Medium
paper,27.2,4.06,8.05,15.31,0.5557,1,Medium
paper,29.31,4.51,9.77,14.33,0.6028,1,Medium
paper,7.25,0.6,7.21,16.96,0.745,1,High
paper,8.31,4.14,8.74,16.1,0.6405,1,Medium
plastic,6.38,3.13,9.43,37.16,0.8844,1,High
organic,58.71,4.19,5.19,4.3,0.2998,0,Unsuitable
glass,4.21,0.99,0.0,0.0,0.3882,0,Low
paper,24.13,1.54,7.65,15.76,0.5858,1,Medium
cardboard,16.38,1.16,8.66,16.87,0.7906,1,High
paper,20.59,0.68,9.08,15.7,0.6417,1,Medium
metal,2.23,1.23,0.09,0.11,0.3752,0,Low
cardboard,19.86,0.95,9.49,16.64,0.689,1,Medium
organic,59.97,7.34,5.71,5.46,0.2821,0,Unsuitable
plastic,6.02,4.43,8.14,38.25,0.6748,1,Medium
metal,2.47,1.4,0.96,0.23,0.4502,1,Low
organic,48.68,3.67,2.0,5.16,0.2888,0,Unsuitable
metal,0.16,1.71,0.15,0.47,0.3998,0,Low
glass,3.13,0.98,0.0,0.0,0.4253,0,Low
cardboard,23.12,2.0,9.27,17.55,0.559,1,Medium
paper,10.6,1.43,7.75,14.05,0.627,1,Medium
glass,4.95,1.58,0.0,0.0,0.4414,0,Low
organic,48.15,6.7,5.33,4.52,0.3495,0,Unsuitable
paper,29.63,4.53,9.4,14.08,0.506,1,Medium
organic,61.89,6.93,4.02,6.18,0.2326,0,Unsuitable
glass,1.67,0.99,0.0,0.0,0.3501,0,Low
glass,2.23,0.68,0.0,0.0,0.4101,0,Low
organic,47.08,7.59,3.1,3.32,0.2621,0,Unsuitable
paper,19.54,0.11,9.55,13.62,0.6115,1,Medium
paper,16.07,0.36,9.41,16.57,0.7147,1,High
plastic,1.79,5.42,9.1,32.4,0.8081,1,High
glass,3.62,1.8,0.0,0.0,0.4392,0,Low
metal,2.39,1.08,0.22,0.02,0.4967,1,Low
plastic,0.18,2.64,9.29,39.77,0.895,1,High
glass,4.05,2.14,0.0,0.0,0.3378,0,Unsuitable
glass,0.21,0.67,0.0,0.0,0.4134,0,Low
paper,25.61,4.63,7.6,16.72,0.5502,1,Medium
paper,28.8,0.06,9.29,16.88,0.6948,1,Medium
organic,78.83,6.85,2.31,7.25,0.2275,0,Unsuitable
organic,56.69,7.0,2.61,6.7,0.1814,0,Unsuitable
metal,3.65,2.55,0.47,0.25,0.3394,0,Unsuitable
organic,69.32,5.58,2.7,4.1,0.1867,0,Unsuitable
organic,77.7,8.14,2.86,7.3,0.1555,0,Unsuitable
paper,11.04,3.09,9.78,14.03,0.5946,1,Medium
organic,79.49,4.05,2.35,6.37,0.1706,0,Unsuitable
paper,16.88,3.77,7.86,14.34,0.5554,1,Medium
cardboard,15.4,3.37,8.34,17.86,0.6228,1,Medium
paper,27.13,2.45,7.42,13.61,0.5316,1,Medium
cardboard,5.95,1.15,7.42,16.32,0.7209,1,High
metal,1.4,0.1,0.61,0.19,0.4959,1,Low
metal,0.54,0.04,0.25,0.23,0.4627,1,Low
glass,1.89,1.59,0.0,0.0,0.4222,0,Low
glass,1.72,1.26,0.0,0.0,0.4466,0,Low
paper,20.03,3.82,7.85,16.15,0.5864,1,Medium
cardboard,23.58,3.92,7.13,16.33,0.5863,1,Medium
metal,1.68,2.96,0.02,0.23,0.447,0,Low
cardboard,11.48,1.92,9.93,16.42,0.6989,1,Medium
glass,1.33,1.51,0.0,0.0,0.4394,0,Low
organic,60.1,9.8,3.04,5.52,0.1023,0,Unsuitable
cardboard,10.59,3.42,8.17,16.59,0.7035,1,High
plastic,1.86,1.81,8.06,36.27,0.8821,1,High
glass,0.91,2.02,0.0,0.0,0.4397,0,Low
glass,3.58,1.4,0.0,0.0,0.4438,0,Low
paper,27.5,1.71,7.12,14.98,0.644,1,Medium
paper,10.96,3.74,7.39,16.23,0.5877,1,Medium
paper,22.76,3.57,9.98,14.37,0.63,1,Medium
metal,2.6,1.6,0.18,0.31,0.4142,0,Low
cardboard,10.29,0.16,7.32,15.72,0.6677,1,Medium
organic,41.31,4.96,2.77,4.89,0.3171,0,Unsuitable
organic,53.12,3.63,2.1,4.01,0.2919,0,Unsuitable
plastic,9.91,5.57,9.01,38.51,0.7493,1,High
cardboard,20.3,3.38,9.69,16.3,0.6415,1,Medium
glass,4.03,0.93,0.0,0.0,0.4961,1,Low
plastic,0.93,3.94,8.07,42.32,0.8261,1,High
glass,3.01,2.57,0.0,0.0,0.4087,0,Low
organic,57.93,4.86,3.57,5.13,0.2854,0,Unsuitable
cardboard,10.41,3.57,8.28,15.98,0.6354,1,Medium
cardboard,10.15,2.01,7.46,16.06,0.6232,1,Medium
plastic,4.13,4.94,8.51,45.52,0.8359,1,High
plastic,8.38,0.85,9.05,32.72,0.8527,1,High
organic,63.37,4.84,5.72,3.58,0.3164,0,Unsuitable
plastic,0.59,3.59,9.63,31.08,0.8119,1,High
glass,1.29,1.99,0.0,0.0,0.4174,0,Low
paper,13.08,2.94,9.15,14.77,0.6197,1,Medium
paper,7.6,5.0,8.37,16.49,0.6507,1,Medium
glass,0.44,0.34,0.0,0.0,0.411,0,Low
organic,54.21,6.17,3.66,3.95,0.2774,0,Unsuitable
organic,68.21,3.47,2.16,6.27,0.3643,0,Low
paper,21.39,0.47,9.85,15.99,0.6933,1,Medium
plastic,3.2,2.21,9.07,34.75,0.7951,1,High
cardboard,12.38,1.02,8.16,15.59,0.6637,1,Medium
paper,14.7,1.73,8.6,16.09,0.6685,1,Medium
metal,2.94,2.9,0.52,0.45,0.4186,0,Low
plastic,4.29,4.19,9.97,37.33,0.9252,1,High
cardboard,16.24,0.51,9.25,16.52,0.6675,1,Medium
organic,65.16,7.29,5.02,7.21,0.2009,0,Unsuitable
organic,41.46,6.89,2.87,7.3,0.3093,0,Unsuitable
plastic,1.88,2.03,9.41,33.27,0.7925,1,High
plastic,8.88,4.59,8.4,34.68,0.8239,1,High
cardboard,17.21,1.23,7.9,15.12,0.5655,1,Medium
glass,0.22,0.01,0.0,0.0,0.4448,0,Low
paper,17.15,2.18,7.97,15.09,0.6394,1,Medium
plastic,5.98,5.39,9.99,31.26,0.7681,1,High
cardboard,12.04,1.15,7.52,17.29,0.5791,1,Medium
paper,27.98,0.16,7.2,14.61,0.6599,1,Medium
paper,29.65,1.04,7.59,15.29,0.5055,1,Medium
paper,19.51,1.88,9.48,13.55,0.667,1,Medium
cardboard,22.36,1.48,8.7,15.21,0.6627,1,Medium
glass,0.35,2.18,0.0,0.0,0.4516,1,Low
organic,73.42,3.62,2.1,3.28,0.1705,0,Unsuitable
organic,49.39,6.84,3.7,6.98,0.3829,0,Low
cardboard,24.78,0.6,9.49,15.16,0.7341,1,High
metal,4.43,2.0,0.69,0.13,0.4312,0,Low
cardboard,15.43,1.85,7.98,15.92,0.6461,1,Medium
plastic,3.65,0.9,9.74,39.63,0.9255,1,High
plastic,8.48,1.43,8.3,30.14,0.7658,1,High
glass,3.81,2.96,0.0,0.0,0.4211,0,Low
organic,70.24,5.51,2.04,5.98,0.1581,0,Unsuitable
metal,1.29,0.57,0.12,0.28,0.4718,1,Low
paper,23.83,4.46,9.42,13.99,0.5886,1,Medium
glass,1.49,0.99,0.0,0.0,0.3757,0,Low
plastic,5.37,2.92,8.21,33.79,0.7767,1,High
plastic,0.67,5.59,8.25,33.17,0.7477,1,High
organic,76.01,8.08,2.27,6.46,0.1476,0,Unsuitable
cardboard,20.15,3.31,9.16,16.76,0.6055,1,Medium
organic,78.28,7.11,4.66,5.19,0.1935,0,Unsuitable
glass,4.99,0.48,0.0,0.0,0.3804,0,Low
organic,41.96,5.83,4.33,5.93,0.3117,0,Unsuitable
metal,3.6,1.92,0.79,0.31,0.4472,0,Low
cardboard,7.02,1.09,8.58,17.62,0.6851,1,Medium
metal,0.45,1.78,0.22,0.37,0.4758,1,Low
plastic,5.91,2.03,8.89,43.83,0.8091,1,High
metal,2.6,1.1,0.05,0.07,0.478,1,Low
cardboard,23.88,2.02,7.7,15.32,0.657,1,Medium
plastic,8.16,2.3,9.55,42.84,0.8462,1,High
paper,6.27,4.62,9.65,15.09,0.5973,1,Medium
plastic,2.12,4.92,9.0,30.54,0.7345,1,High
glass,4.15,0.83,0.0,0.0,0.379,0,Low
organic,61.3,7.5,3.85,5.1,0.1322,0,Unsuitable
paper,10.82,4.18,7.44,13.91,0.552,1,Medium
cardboard,9.3,0.65,8.69,16.1,0.705,1,High
paper,8.77,4.57,9.71,16.32,0.6514,1,Medium
organic,64.81,7.47,4.76,3.08,0.3075,0,Unsuitable
organic,71.26,5.64,2.05,5.55,0.2031,0,Unsuitable
